commande	1_graph	8_frantfreqparm
1380	commencé	51.16
1381	programme	51.13
1382	dormir	51.1
1383	nécessaires	51.1
1384	permettre	51.1
1385	devaient	51.06
1386	quitter	51.06
1387	quarante	51.03
1388	reprendre	51
1389	aimé	50.97
1390	portant	50.94
1391	page	50.9
1392	efforts	50.87
1393	composition	50.84
1394	circonstances	50.81
1395	conception	50.81
1396	décidé	50.81
1397	fonds	50.81
1398	réel	50.77
1399	union	50.77
1400	allaient	50.65
1401	croissance	50.61
1402	chevaux	50.55
1403	santé	50.55
1404	logique	50.52
1405	fête	50.45
1406	mauvaise	50.45
1407	radio	50.42
1408	posé	50.39
1409	destin	50.35
1410	littérature	50.35
1411	croit	50.29
1412	oreilles	50.26
1413	connaissait	50.19
1414	imagination	50.19
1415	fruits	50.16
1416	ordres	50.13
1417	sourit	50.13
1418	appeler	49.97
1419	tire	49.97
1420	changé	49.94
1421	donnée	49.9
1422	immédiatement	49.9
